InsuranceID,InsuranceCompanyName,SubscriberNo,GroupNo,PolicyHolderName,SameAsPatient,InsuranceName,DateOfBirth,SSN,Telephone,Gender,HomeAddress,Employer,PatientRelationshipToInsured
39532,Cormier LLC,7567426,272190,Shannen Ortet,1,Cloris Davydychev,1971-11-01 08:23:21,802186089,16403005,Transgender,319 Village Green Terrace,Zoomcast,Other
52104,Cummerata LLC,1911507,400826,Sella Bailess,1,Patsy Lammerts,1952-12-18 14:12:55,806991126,16183315,Female,8 Anniversary Junction,Meetz,Child
5700,"Kessler, Lakin and Denesik",3170217,472824,Nils Gannaway,1,Xena Wilson,2003-05-11 15:17:35,314760229,72583923,Transgender,8 Sunnyside Pass,Yata,Sibling
35051,"Langworth, Stroman and Schiller",5324550,641894,Marja Flanders,0,Pat Swanne,1944-09-13 10:56:44,615411635,32542432,Transgender,2558 Fremont Point,Skilith,Child
22628,Sanford Group,2715700,377272,Perri Martellini,1,Alejandro Kornyshev,1972-02-19 17:43:20,437562604,79370314,Transgender,370 Heffernan Plaza,Meezzy,Sibling
30258,"Cummerata, Goyette and Conn",6630036,631932,Bartlet Havik,1,Lee Vynarde,1963-01-22 14:30:03,439714204,26615119,Male,3 Sugar Drive,Vidoo,Domestic Partner
99973,Upton-Dach,1775780,903841,Jessica Goreway,1,Kay Aldhouse,1950-11-24 17:25:08,316500226,43290638,Transgender,10 Kinsman Point,Wikibox,Sibling
81962,Bode-Quigley,4843143,422500,Fairfax Bister,1,Marita Shailer,2001-06-30 18:27:50,226880535,36857671,Male,74973 Brown Hill,Zazio,Other
15545,Kulas Group,9203966,980969,Walt Yosselevitch,1,Stephi Branch,1994-04-23 00:59:24,187450212,7409022,Male,323 Utah Parkway,Trilith,Domestic Partner
56962,"Krajcik, Ziemann and Waters",8467263,475363,Karna Hibbart,0,Seumas Golsby,1999-12-17 01:17:29,24978849,45724193,Male,6 Warrior Court,Abatz,Other
13985,"Bailey, Bode and Bode",184136,391812,Alphonse Langmaid,0,Lilly Ruusa,1979-03-21 22:14:46,759870091,68470696,Female,3792 Kenwood Avenue,Skajo,Other
96784,Bins-Jakubowski,5397750,459618,Elliot Pleming,1,Terrence Gerardet,1972-07-09 22:27:02,356635512,8713439,Male,9 Marquette Hill,Feedbug,Parent
77081,O'Conner-Herman,930358,334208,Ruddie Leall,1,Skip Fernehough,1958-02-27 13:50:01,299964252,86829542,Female,0564 Almo Pass,Pixope,Other
79444,"Smith, Metz and Mohr",2291549,780631,Christoffer Bruniges,1,Bobinette Simenet,1985-11-02 19:36:11,277199394,1515435,Transgender,1988 Pond Road,Jabbersphere,Spouse
90134,"Quigley, Stroman and Mann",2515813,367964,Amalee Buscombe,0,Ringo Tod,1953-12-27 01:30:36,744001734,80897260,Female,2 Autumn Leaf Court,Twitterlist,Child
62979,Hessel LLC,3355380,756137,Rickard Bohden,1,Clarinda O'Hanlon,1981-01-10 13:47:19,547651768,15767144,Male,91 Corry Point,Eamia,Spouse
17289,Wyman Group,2455118,410968,Aidan Pinnell,1,Erin Dinning,1985-04-28 03:56:56,831009261,14704136,Female,861 Esker Trail,Gigaclub,Parent
41053,Cormier-McGlynn,1289227,701452,Virge MacAllister,1,Raynor Strewthers,1959-12-04 18:44:27,730396788,62076804,Transgender,93 Fallview Trail,Browsecat,Child
20018,"Rippin, Doyle and Swift",4174810,463396,Konstantin Groneway,0,Dore Greasley,1979-08-04 23:51:48,63270022,18014931,Female,15 Briar Crest Parkway,Realpoint,Spouse
43189,West and Sons,1289916,171633,Carmita Pendrick,1,Lazare Pascow,1981-03-04 20:06:34,296206037,19640655,Female,35 Lighthouse Bay Plaza,Wikido,Parent
10410,"Grady, Kassulke and Barton",8023091,777977,Alain Nucciotti,0,Vance Mattiessen,2001-01-21 20:54:02,506464574,5154097,Female,96 Texas Court,Photojam,Parent
13614,"Heidenreich, Streich and Zemlak",3661345,444724,Augie Couve,1,Rosabella Lehmann,1985-12-07 01:59:03,199630167,80746079,Transgender,171 Dawn Lane,Riffpedia,Domestic Partner
84491,Schumm LLC,4330486,905089,Wittie Quayle,1,Georas MacClay,1982-12-15 21:59:41,840892477,22310259,Female,0677 Dryden Road,Yombu,Other
29500,Berge-Gutmann,3258656,292162,Willabella Armell,1,Stanley Apark,1963-03-14 05:10:46,510411587,84876233,Transgender,8 7th Point,Photobug,Domestic Partner
73587,MacGyver-Runte,7182001,684461,Tarah Manie,0,Brannon Longhirst,1951-07-14 07:12:41,718818518,49623316,Transgender,466 Mesta Alley,Oyoyo,Child
24700,Nikolaus Inc,5386508,799489,Jud Grandin,1,Enoch Lanphier,1995-07-24 18:32:39,412714426,83666798,Male,4 Ludington Road,Dynava,Domestic Partner
70755,Green-Bernier,3436212,621980,Jarred Hellikes,1,Gay Kirkman,1968-09-25 13:43:03,720804510,37393370,Female,3854 Debra Park,Meeveo,Parent
1731,Feest Group,5921911,940222,Elena O'Drought,0,Rosalinde Sheeres,1955-12-11 18:22:01,276905796,32935429,Female,5055 Packers Court,Npath,Sibling
55815,McClure-Aufderhar,996443,825731,Saraann Casterton,1,Dody Drees,1956-05-12 13:10:12,828263655,6276939,Transgender,05786 Twin Pines Point,Babbleset,Domestic Partner
94277,"Hahn, Goyette and Marquardt",7884647,672332,Felicle Ancketill,1,Frazier Oscroft,1946-11-28 20:17:13,769604559,59518233,Transgender,9534 Fair Oaks Point,Feedfire,Domestic Partner
99918,"Pfeffer, Boyle and Satterfield",1443225,767423,Mohandas Marwood,0,Egbert Smidmore,1958-11-23 06:27:08,598711120,81648305,Male,08820 Spenser Circle,Voomm,Parent
26344,"Bradtke, Hilll and Reilly",8454775,999661,Westbrooke Solomonides,1,Damon Diben,1958-11-04 04:21:35,545820349,21839509,Male,4 Bunker Hill Hill,Agivu,Domestic Partner
8489,"Paucek, Schuster and Kub",4854665,918376,Cly Gabbitis,0,Margaretha Rowena,2003-08-07 23:28:21,876239345,6373889,Male,5 Amoth Plaza,Zoomdog,Sibling
88513,Gutmann-Walter,2689156,530562,Kirbee Vanshin,0,Dixie Trotman,1996-06-15 11:48:26,222491072,69218136,Female,475 Buhler Street,Rhycero,Other
30929,Grady LLC,3522969,514439,Dredi Dwire,0,Carlee Lowrey,1959-08-19 15:02:57,232897017,26199572,Transgender,9203 Ridge Oak Place,Dabfeed,Domestic Partner
19023,Greenholt-Terry,4952780,872448,Gilbertina Gatfield,0,Darill Calow,1978-03-08 07:25:52,798509792,68534108,Transgender,53 Dennis Center,Feedmix,Child
55542,"Zulauf, Buckridge and Armstrong",2525464,482836,Amity Umfrey,0,Ilario Fearon,1983-10-16 23:18:41,316448865,31132683,Transgender,0998 Aberg Terrace,Devshare,Child
14899,Rice-Lowe,6498460,78005,Jennilee Luke,0,Betty Jeffcock,1949-12-04 12:05:55,292230429,83554190,Female,599 Melrose Lane,Twinder,Spouse
12752,Harvey-Douglas,2154859,114259,Osborn Castell,1,Chris Vesco,1978-01-11 22:06:43,460816001,61480618,Transgender,07 Drewry Terrace,Flashdog,Other
86064,"Pouros, Brekke and Lind",9730100,702985,Emeline Malec,1,Fanny Fontelles,2005-01-17 13:22:05,635411833,6666369,Female,51 Linden Avenue,Realbridge,Domestic Partner
15128,"Kohler, Hirthe and Krajcik",2809574,704089,Staci Mongenot,1,Cyndia Hew,1972-11-29 21:29:24,813470350,56419662,Male,067 Roth Trail,Twitterwire,Spouse
